Bisection method: f(x) = e^x - 3xcos(2x) - 8.3
[ 3] c=3.605001103488786; a=2.0000000000; b=3.6902364101
[ 4] c=3.550755062627494; a=2.0000000000; b=3.6050011035
[ 5] c=3.517636222273473; a=2.0000000000; b=3.5507550626
[ 6] c=3.498048664896626; a=2.0000000000; b=3.5176362223
[ 7] c=3.486713984556564; a=2.0000000000; b=3.4980486649
[ 8] c=3.480245247958690; a=2.0000000000; b=3.4867139846
[ 9] c=3.476584266793783; a=2.0000000000; b=3.4802452480
[10] c=3.474522441504549; a=2.0000000000; b=3.4765842668
[11] c=3.473364497205008; a=2.0000000000; b=3.4745224415
[12] c=3.472715217496845; a=2.0000000000; b=3.4733644972
[13] c=3.472351481863331; a=2.0000000000; b=3.4727152175
[14] c=3.472147814908809; a=2.0000000000; b=3.4723514819
[15] c=3.472033807712366; a=2.0000000000; b=3.4721478149
[16] c=3.471969999728169; a=2.0000000000; b=3.4720338077
[17] c=3.471934290605756; a=2.0000000000; b=3.4719699997
[18] c=3.471914307558431; a=2.0000000000; b=3.4719342906
[19] c=3.471903125232152; a=2.0000000000; b=3.4719143076
[20] c=3.471896867804558; a=2.0000000000; b=3.4719031252
[21] c=3.471893366291763; a=2.0000000000; b=3.4718968678
[22] c=3.471891406935173; a=2.0000000000; b=3.4718933663
[23] c=3.471890310532564; a=2.0000000000; b=3.4718914069
[24] c=3.471889697016449; a=2.0000000000; b=3.4718903105
[25] c=3.471889353710351; a=2.0000000000; b=3.4718896970
[26] c=3.471889161606155; a=2.0000000000; b=3.4718893537
[27] c=3.471889054110213; a=2.0000000000; b=3.4718891616
[28] c=3.471888993958606; a=2.0000000000; b=3.4718890541
[29] c=3.471888960299518; a=2.0000000000; b=3.4718889940
[30] c=3.471888941464874; a=2.0000000000; b=3.4718889603
[31] c=3.471888930925556; a=2.0000000000; b=3.4718889415
[32] c=3.471888925028061; a=2.0000000000; b=3.4718889309
[33] c=3.471888921727994; a=2.0000000000; b=3.4718889250
[34] c=3.471888919881373; a=2.0000000000; b=3.4718889217
